"","PREDATOR","PREY"
"1","ACA_SPP","AUT_FLA"
"2","ACA_SPP","DIATOM"
"3","ACA_SPP","HET_FLA"
"4","ACA_SPP","MIX_FLA"
"5","ACA_SPP","PROZOO"
"6","ACT_G_SP","AUT_FLA"
"7","ACT_G_SP","DIATOM"
"8","ACT_G_SP","GAM_IND"
"9","ACT_G_SP","HET_FLA"
"10","ACT_G_SP","MAC_IND"
"11","ACT_G_SP","POL_IND"
"12","AGL_DIG","CAL_FIN"
"13","AGL_DIG","OIT_SIM"
"14","AGL_DIG","ONC_BOR"
"15","AGL_MAL","LUM_MIN"
"16","AGL_MAL","LUM_SP"
"17","AGL_MAL","POL_IND"
"18","AGL_MAL","POLY_IND"
"19","AGO_CAT","CHL_ISL"
"20","AGO_CAT","GAM_IND"
"21","AGO_CAT","OPH_ACU"
"22","AGO_CAT","OPH_BID"
"23","AGO_CAT","OPH_SER"
"24","AGO_CAT","OPH_SP"
"25","AGO_CAT","OST_IND"
"26","AGO_CAT","PAG_SP"
"27","AGO_CAT","POL_IND"
"28","AGO_CAT","THE_ABY"
"29","AGO_CAT","THE_LIB"
"30","AGO_CAT","THY_INE"
"31","AGO_CAT","THY_LON"
"32","ALL_ALL","ACA_SPP"
"33","ALL_ALL","APH_GLA"
"34","ALL_ALL","BEN_LAR"
"35","ALL_ALL","CAL_FIN"
"36","ALL_ALL","CAL_GLA"
"37","ALL_ALL","CAL_HYP"
"38","ALL_ALL","CLI_LIM"
"39","ALL_ALL","FI_LA"
"40","ALL_ALL","FRI_BOR"
"41","ALL_ALL","GAM_WIL"
"42","ALL_ALL","LIM_HEL"
"43","ALL_ALL","LIM_RET"
"44","ALL_ALL","MEG_NOR"
"45","ALL_ALL","MET_LON"
"46","ALL_ALL","MIC_SPP"
"47","ALL_ALL","OIK_DIO"
"48","ALL_ALL","OIK_SPP"
"49","ALL_ALL","OIK_VAN"
"50","ALL_ALL","OIT_SIM"
"51","ALL_ALL","OIT_SPI"
"52","ALL_ALL","ONC_BOR"
"53","ALL_ALL","OST_IND"
"54","ALL_ALL","PAR_NOR"
"55","ALL_ALL","PAR_SPP"
"56","ALL_ALL","PSE_SPP"
"57","ALL_ALL","SAB_SP"
"58","ALL_ALL","SAG_SPP"
"59","ALL_ALL","THE_ABY"
"60","ALL_ALL","THE_LIB"
"61","ALL_ALL","THY_INE"
"62","ALL_ALL","THY_LON"
"63","ALL_ALL","THY_RAS"
"64","AMB_HYP","ARC_RIS"
"65","AMB_HYP","CLU_HAR"
"66","AMB_HYP","COT_MIC"
"67","AMB_HYP","FOR_IND"
"68","AMB_HYP","GAD_MOR"
"69","AMB_HYP","HIP_PLA"
"70","AMB_HYP","LYC_ESM"
"71","AMB_HYP","LYC_EUD"
"72","AMB_HYP","LYC_GRA"
"73","AMB_HYP","LYC_KOL"
"74","AMB_HYP","LYC_PAL"
"75","AMB_HYP","LYC_RET"
"76","AMB_HYP","LYC_ROS"
"77","AMB_HYP","LYC_SEM"
"78","AMB_HYP","MAC_BER"
"79","AMB_HYP","MAL_VIL"
"80","AMB_HYP","MEL_AEG"
"81","AMB_HYP","MIC_POU"
"82","AMB_HYP","PAN_BOR"
"83","AMB_HYP","POL_IND"
"84","AMB_HYP","REI_HIP"
"85","AMB_HYP","ROS_SP"
"86","AMB_HYP","SEB_MAR"
"87","AMB_HYP","SEB_MEN"
"88","AMB_HYP","SEB_SPP"
"89","AMB_HYP","THE_ABY"
"90","AMB_HYP","THE_LIB"
"91","AMB_HYP","THY_INE"
"92","AMB_HYP","THY_LON"
"93","AMB_HYP","MEG_NOR"
"94","AMB_HYP","BOR_SAI"
"95","AMB_HYP","ISO_IND"
"96","AMB_HYP","DET_IND"
"97","AMB_RAD","AMB_RAD"
"98","AMB_RAD","AMM_SPP"
"99","AMB_RAD","ANA_DEN"
"100","AMB_RAD","ANA_LUP"
