ABBREVIATION;ABBREV_SIMPL;TROPHOSPECIES_code;GROUP_withno;GROUP;GROUP.no;Trophospecies;Kingdom;Phylum;Class;Order;Family;Genus;Species;Surveys_name_matchorlower;Surveys_name_higher;lower_rank;higher_rank
ACT_G_SP;ACT_G_SP;ACTINIARIA_G_SP;3_Benthos;Benthos;3;Actiniaria;Animalia;Cnidaria;Anthozoa;Actiniaria;NA;NA;NA;Actiniaria;;Order;
AGO_CAT;AGO_CAT;AGONUS_CATAPHRACTUS;4_Fish;Fish;4;Agonus cataphractus;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Agonidae;Agonus;cataphractus;Agonus cataphractus;;Species;
ALL_ALL;ALL_ALL;ALLE_ALLE;5_Seabirds;Seabirds;5;Alle alle;Animalia;Chordata;Aves;Charadriiformes;Alcidae;Alle;alle;Alle alle;;Species;
AMB_HYP;AMB_HYP;AMBLYRAJA_HYPERBOREA;4_Fish;Fish;4;Amblyraja hyperborea;Animalia;Chordata;Elasmobranchii;Rajiformes;Rajidae;Amblyraja;hyperborea;Amblyraja hyperborea;;Species;
AMB_RAD;AMB_RAD;AMBLYRAJA_RADIATA;4_Fish;Fish;4;Amblyraja radiata;Animalia;Chordata;Elasmobranchii;Rajiformes;Rajidae;Amblyraja;radiata;Amblyraja radiata;;Species;
AMM_SPP;AMM_SPP;AMMODYTES_SPP;4_Fish;Fish;4;Ammodytes;Animalia;Chordata;Actinopterygii;Perciformes;Ammodytidae;Ammodytes;NA;Ammodytes;;Genus;
APH_GLA;AMPHI_SPP;APHERUSA_GLACIALIS;2_Zooplankton;Zooplankton;2;Apherusa glacialis;Animalia;Arthropoda;Malacostraca;Amphipoda;Calliopiidae;Apherusa;glacialis;Calliopiidae;Calliopiidae;Species;
ARR_PHY;AMPHI_SPP;ARRHIS_PHYLLONYX;3_Benthos;Benthos;3;Arrhis phyllonyx;Animalia;Arthropoda;Malacostraca;Amphipoda;Oedicerotidae;Arrhis;phyllonyx;Arrhis phyllonyx;;Species;
GAM_IND;AMPHI_SPP;GAMMARIDAE_INDET;3_Benthos;Benthos;3;Gammaridae;Animalia;Arthropoda;Malacostraca;Amphipoda;Gammaridae;NA;NA;Gammaridae;;Family;
GAM_WIL;AMPHI_SPP;GAMMARUS_WILKITZKII;2_Zooplankton;Zooplankton;2;Gammarus wilkitzkii;Animalia;Arthropoda;Malacostraca;Amphipoda;Gammaridae;Gammarus;wilkitzkii;Gammarus wilkitzkii;Gammarus;Species;
ANA_DEN;ANA_DEN;ANARHICHAS_DENTICULATUS;4_Fish;Fish;4;Anarhichas denticulatus;Animalia;Chordata;Actinopterygii;Perciformes;Anarhichadidae;Anarhichas;denticulatus;Anarhichas denticulatus;;Species;
ANA_LUP;ANA_LUP;ANARHICHAS_LUPUS;4_Fish;Fish;4;Anarhichas lupus;Animalia;Chordata;Actinopterygii;Perciformes;Anarhichadidae;Anarhichas;lupus;Anarhichas lupus;;Species;
ANA_MIN;ANA_MIN;ANARHICHAS_MINOR;4_Fish;Fish;4;Anarhichas minor;Animalia;Chordata;Actinopterygii;Perciformes;Anarhichadidae;Anarhichas;minor;Anarhichas minor;;Species;
ANI_MED;ANI_MED;ANISARCHUS_MEDIUS;4_Fish;Fish;4;Anisarchus medius;Animalia;Chordata;Actinopterygii;Perciformes;Stichaeidae;Anisarchus;medius;Anisarchus medius;;Species;
ANO_SPP;ANO_SPP;ANONYX_SPP;2_Zooplankton;Zooplankton;2;Anonyx;Animalia;Arthropoda;Malacostraca;Amphipoda;Uristidae;Anonyx;NA;NA;;Genus;
APE_SPP;APE_SPP;;2_Zooplankton;Zooplankton;;;Animalia;Chordata;Appendicularia;;;;;;;;
ARC_GLA;ARC_GLA;ARCTOGADUS_GLACIALIS;4_Fish;Fish;4;Arctogadus glacialis;Animalia;Chordata;Actinopterygii;Gadiformes;Gadidae;Arctogadus;glacialis;Arctogadus glacialis;;Species;
ARC_RIS;ARC_RIS;ARCTOZENUS_RISSO;4_Fish;Fish;4;Arctozenus risso;Animalia;Chordata;Actinopterygii;Aulopiformes;Paralepididae;Arctozenus;risso;Arctozenus risso;;Species;
ARG_SP;ARG_SP;ARGENTINA_SP;4_Fish;Fish;4;Argentina;Animalia;Chordata;Actinopterygii;Argentiniformes;Argentinidae;Argentina;NA;Argentina silus;Argentinidae;Genus;
ART_ATL;ART_ATL;ARTEDIELLUS_ATLANTICUS;4_Fish;Fish;4;Artediellus atlanticus;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Cottidae;Artediellus;atlanticus;Artediellus atlanticus;;Species;
ASC_G_SP;ASC_G_SP;ASCIDIACEA_G_SP;3_Benthos;Benthos;3;Ascidiacea;Animalia;Chordata;Ascidiacea;NA;NA;NA;NA;Ascidiacea;;Class;
AST_SP;AST_SP;ASTARTE_SP;3_Benthos;Benthos;3;Astarte;Animalia;Mollusca;Bivalvia;Carditida;Astartidae;Astarte;NA;Astarte;;Genus;
AST_RUB;ASTE_SP;ASTERIAS_RUBENS;3_Benthos;Benthos;3;Asterias rubens;Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Asterias;rubens;Asteriidae;Asteriidae;Species;
CRO_PAP;ASTE_SP;CROSSASTER_PAPPOSUS;3_Benthos;Benthos;3;Crossaster papposus;Animalia;Echinodermata;Asteroidea;Valvatida;Solasteridae;Crossaster;papposus;Crossaster papposus;Crossaster;Species;Genus
